type,headline,url,date
Press Release,Former Oklahoma Police Officer Convicted of Sexually Assaulting a Woman During a Traffic Stop and Obstruction of Justice,"https://www.justice.gov<a href=""/opa/pr/former-oklahoma-police-officer-convicted-sexually-assaulting-woman-during-traffic-stop-and"" rel=""bookmark"">
<span class=""field-formatter--string"">Former Oklahoma Police Officer Convicted of Sexually Assaulting a Woman During a Traffic Stop and Obstruction of Justice</span>
</a>",2024-03-07
Press Release,Oregon Man Charged with Federal Hate Crimes for Defacing Synagogue,"https://www.justice.gov<a href=""/opa/pr/oregon-man-charged-federal-hate-crimes-defacing-synagogue"" rel=""bookmark"">
<span class=""field-formatter--string"">Oregon Man Charged with Federal Hate Crimes for Defacing Synagogue</span>
</a>",2024-03-07
Press Release,Former Alabama Sheriff’s Deputy Pleads Guilty to Federal Civil Rights Offense for Excessive Force,"https://www.justice.gov<a href=""/opa/pr/former-alabama-sheriffs-deputy-pleads-guilty-federal-civil-rights-offense-excessive-force"" rel=""bookmark"">
<span class=""field-formatter--string"">Former Alabama Sheriff’s Deputy Pleads Guilty to Federal Civil Rights Offense for Excessive Force</span>
</a>",2024-03-06
Press Release,Justice Department Sues New Mexico Property Manager for Sexually Harassing Tenants,"https://www.justice.gov<a href=""/opa/pr/justice-department-sues-new-mexico-property-manager-sexually-harassing-tenants"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Sues New Mexico Property Manager for Sexually Harassing Tenants</span>
</a>",2024-03-06
Press Release,Former Kentucky Sheriff’s Deputy Found Guilty of Federal Civil Rights Charges Following Multiple Assaults and Obstruction,"https://www.justice.gov<a href=""/opa/pr/former-kentucky-sheriffs-deputy-found-guilty-federal-civil-rights-charges-following-multiple"" rel=""bookmark"">
<span class=""field-formatter--string"">Former Kentucky Sheriff’s Deputy Found Guilty of Federal Civil Rights Charges Following Multiple Assaults and Obstruction</span>
</a>",2024-03-05
Press Release,Justice Department Secures Agreement with Florida School District to Protect Civil Rights of Students with Disabilities,"https://www.justice.gov<a href=""/opa/pr/justice-department-secures-agreement-florida-school-district-protect-civil-rights-students"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Secures Agreement with Florida School District to Protect Civil Rights of Students with Disabilities </span>
</a>",2024-03-05
Speech,Assistant Attorney General Kristen Clarke Delivers Remarks at America’s Credit Union’s Governmental Affairs Conference,"https://www.justice.gov<a href=""/opa/speech/assistant-attorney-general-kristen-clarke-delivers-remarks-americas-credit-unions"" rel=""bookmark"">
<span class=""field-formatter--string"">Assistant Attorney General Kristen Clarke Delivers Remarks at America’s Credit Union’s Governmental Affairs Conference</span>
</a>",2024-03-05
Speech,Assistant Attorney General Kristen Clarke Delivers Remarks at Martin and Coretta King Unity Breakfast 2024,"https://www.justice.gov<a href=""/opa/speech/assistant-attorney-general-kristen-clarke-delivers-remarks-martin-and-coretta-king-unity"" rel=""bookmark"">
<span class=""field-formatter--string"">Assistant Attorney General Kristen Clarke Delivers Remarks at Martin and Coretta King Unity Breakfast 2024</span>
</a>",2024-03-03
Speech,"Assistant Attorney General Kristen Clarke Delivers Remarks on Bloody Sunday at Brown Chapel AME Church in Selma, Alabama","https://www.justice.gov<a href=""/opa/speech/assistant-attorney-general-kristen-clarke-delivers-remarks-bloody-sunday-brown-chapel"" rel=""bookmark"">
<span class=""field-formatter--string"">Assistant Attorney General Kristen Clarke Delivers Remarks on Bloody Sunday at Brown Chapel AME Church in Selma, Alabama</span>
</a>",2024-03-03
Press Release,Court Finds That Arizona Voter Registration Provisions Violate Federal Law,"https://www.justice.gov<a href=""/opa/pr/court-finds-arizona-voter-registration-provisions-violate-federal-law"" rel=""bookmark"">
<span class=""field-formatter--string"">Court Finds That Arizona Voter Registration Provisions Violate Federal Law</span>
</a>",2024-03-01
Press Release,Justice Department Informs City of Lexington and Lexington Police Department That Automatically Jailing People for Unpaid Fines Violates Constitution,"https://www.justice.gov<a href=""/opa/pr/justice-department-informs-city-lexington-and-lexington-police-department-automatically"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Informs City of Lexington and Lexington Police Department That Automatically Jailing People for Unpaid Fines Violates Constitution </span>
</a>",2024-02-29
Press Release,Justice Department Finds Conditions at Three Mississippi Prisons Violate the Constitution,"https://www.justice.gov<a href=""/opa/pr/justice-department-finds-conditions-three-mississippi-prisons-violate-constitution"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Finds Conditions at Three Mississippi Prisons Violate the Constitution</span>
</a>",2024-02-28
Speech,Assistant Attorney General Kristen Clarke Delivers Remarks on Findings that Conditions at Three Mississippi Prisons Violate the Constitution,"https://www.justice.gov<a href=""/opa/speech/assistant-attorney-general-kristen-clarke-delivers-remarks-findings-conditions-three"" rel=""bookmark"">
<span class=""field-formatter--string"">Assistant Attorney General Kristen Clarke Delivers Remarks on Findings that Conditions at Three Mississippi Prisons Violate the Constitution</span>
</a>",2024-02-28
Press Release,Former Alabama Correctional Sergeant Sentenced for Violating Civil Rights of Inmate by Using Excessive Force and Lying to Cover It Up,"https://www.justice.gov<a href=""/opa/pr/former-alabama-correctional-sergeant-sentenced-violating-civil-rights-inmate-using-excessive"" rel=""bookmark"">
<span class=""field-formatter--string"">Former Alabama Correctional Sergeant Sentenced for Violating Civil Rights of Inmate by Using Excessive Force and Lying to Cover It Up</span>
</a>",2024-02-28
Press Release,South Carolina Man Found Guilty of Hate Crime for Killing a Transgender Woman Because of Her Gender Identity,"https://www.justice.gov<a href=""/opa/pr/south-carolina-man-found-guilty-hate-crime-killing-transgender-woman-because-her-gender"" rel=""bookmark"">
<span class=""field-formatter--string"">South Carolina Man Found Guilty of Hate Crime for Killing a Transgender Woman Because of Her Gender Identity</span>
</a>",2024-02-24
Press Release,Justice Department Files Statement of Interest in Lawsuit Concerning Unnecessary Law Enforcement Responses to Mental Health Emergencies,"https://www.justice.gov<a href=""/opa/pr/justice-department-files-statement-interest-lawsuit-concerning-unnecessary-law-enforcement"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Files Statement of Interest in Lawsuit Concerning Unnecessary Law Enforcement Responses to Mental Health Emergencies</span>
</a>",2024-02-22
Press Release,Maryland Correctional Officer Pleads Guilty to Conspiracy and Destruction of Records Offenses Related to Cover-Up of Excessive Force Incident,"https://www.justice.gov<a href=""/opa/pr/maryland-correctional-officer-pleads-guilty-conspiracy-and-destruction-records-offenses"" rel=""bookmark"">
<span class=""field-formatter--string"">Maryland Correctional Officer Pleads Guilty to Conspiracy and Destruction of Records Offenses Related to Cover-Up of Excessive Force Incident</span>
</a>",2024-02-22
Press Release,Former Kentucky State Prison Sergeant Convicted of Violating Civil Rights of an Inmate and Obstruction of Justice,"https://www.justice.gov<a href=""/opa/pr/former-kentucky-state-prison-sergeant-convicted-violating-civil-rights-inmate-and"" rel=""bookmark"">
<span class=""field-formatter--string"">Former Kentucky State Prison Sergeant Convicted of Violating Civil Rights of an Inmate and Obstruction of Justice</span>
</a>",2024-02-16
Press Release,Readout of Civil Rights Division’s Quarterly LGBTQI+ Community Stakeholder Meeting,"https://www.justice.gov<a href=""/opa/pr/readout-civil-rights-divisions-quarterly-lgbtqi-community-stakeholder-meeting"" rel=""bookmark"">
<span class=""field-formatter--string"">Readout of Civil Rights Division’s Quarterly LGBTQI+ Community Stakeholder Meeting</span>
</a>",2024-02-16
Press Release,Justice Department Sues Tennessee for Enforcing State Law that Discriminates Against People with HIV,"https://www.justice.gov<a href=""/opa/pr/justice-department-sues-tennessee-enforcing-state-law-discriminates-against-people-hiv"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Sues Tennessee for Enforcing State Law that Discriminates Against People with HIV</span>
</a>",2024-02-15
Press Release,Justice Department Finds Nebraska School District Discriminates Against Deaf and Hard of Hearing Students,"https://www.justice.gov<a href=""/opa/pr/justice-department-finds-nebraska-school-district-discriminates-against-deaf-and-hard"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Finds Nebraska School District Discriminates Against Deaf and Hard of Hearing Students</span>
</a>",2024-02-14
Press Release,Former Tennessee Department of Corrections Officer Sentenced for Writing False Report to Cover Up Another Officer’s Use of Excessive Force,"https://www.justice.gov<a href=""/opa/pr/former-tennessee-department-corrections-officer-sentenced-writing-false-report-cover-another"" rel=""bookmark"">
<span class=""field-formatter--string"">Former Tennessee Department of Corrections Officer Sentenced for Writing False Report to Cover Up Another Officer’s Use of Excessive Force</span>
</a>",2024-02-13
